conference,year,season,session_id,paper_id,area_code,area_name,tier1,map_source,title
IEDM,2023,S2023-24,16,16-4,D2,Memory Devices & Technology,Devices & Process Technology,session,Ab initio quantum transport simulations of InAs avalanche photo-diodes within
IEDM,2023,S2023-24,16,16-5,D2,Memory Devices & Technology,Devices & Process Technology,session,Simulation in action: the application of modelling to SPAD architecture design
IEDM,2023,S2023-24,17,17-1,D8,"Sensors, MEMS & Bio-devices",Devices & Process Technology,session,Thin Sc Al N Film Based 15GHz Wideband Filter: Towards mmWave Acoustic Filters
IEDM,2023,S2023-24,17,17-2,D8,"Sensors, MEMS & Bio-devices",Devices & Process Technology,session,A Selective Overtone MEMS-based Quartz Oscillator with Low Acceleration Sensitivity
IEDM,2023,S2023-24,17,17-3,D8,"Sensors, MEMS & Bio-devices",Devices & Process Technology,session,A Low Phase Noise Piezoelectric MEMS Oscillator with Low Power Consumption
IEDM,2023,S2023-24,17,17-4,D8,"Sensors, MEMS & Bio-devices",Devices & Process Technology,session,High-Performance Monolayer and Bilayer MoS Vibrating Channel Transistors for Ultrasensitive
IEDM,2023,S2023-24,17,17-5,D8,"Sensors, MEMS & Bio-devices",Devices & Process Technology,session,On-chip sample preparation and biosensing: Can porous silicon membranes do it all? ((nvited)
IEDM,2023,S2023-24,18,18-1,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,Physical Origin of Recovable Ferroelectric Fatigue and Recovery for Doped-HfO : Toward
IEDM,2023,S2023-24,18,18-2,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,Robust Recovery Scheme for MFIS-FeFETs at Optimal Timing with Prolonged Endurance: Fast
IEDM,2023,S2023-24,18,18-3,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,IL Scavenging and Recovery Strategies to Improve the Performance and Reliability of HZO-Based
IEDM,2023,S2023-24,18,18-4,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,A Novel FeFET Array-Based PUF: Co-optimization of Entropy Source and CRP Generation for
IEDM,2023,S2023-24,18,18-5,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,Defying Temperature: Reliable Compute-in-Memory in Monolithic 3D using BEOL Ferroelectric
IEDM,2023,S2023-24,19,19-1,D2,Memory Devices & Technology,Devices & Process Technology,session,Process Innovations for Future Technology Nodes with Back-Side Power Delivery and 3D Device
IEDM,2023,S2023-24,19,19-2,D2,Memory Devices & Technology,Devices & Process Technology,session,Backside Power Delivery: Game Changer and Key Enabler of Advanced Logic Scaling and New
IEDM,2023,S2023-24,19,19-3,D2,Memory Devices & Technology,Devices & Process Technology,session,Thermal dissipation in stacked devices
IEDM,2023,S2023-24,19,19-4,D2,Memory Devices & Technology,Devices & Process Technology,session,Ultimate Layer Stacking Technology for High Density Sequential 3D Integration
IEDM,2023,S2023-24,19,19-5,D2,Memory Devices & Technology,Devices & Process Technology,session,CMOS Directly Bonded to Array (CBA) Technology for Future 3D Flash Memory
IEDM,2023,S2023-24,19,19-6,D2,Memory Devices & Technology,Devices & Process Technology,session,Wafer Bonding as Next Generation Scaling Booster
IEDM,2023,S2023-24,20,20-1,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,Fully CMOS-Compatible Room-Temperature Waveguide-Integrated Bolometer Based on
IEDM,2023,S2023-24,20,20-2,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,Back-Illuminated SPAD in 40 nm CIS Technology Achieving 56 ps Timing Jitter With 15 V
IEDM,2023,S2023-24,20,20-3,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,Wavelength-tunable grating-resonance InGaAs narrowband photodetector with infrared optical
IEDM,2023,S2023-24,20,20-4,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,Highly Responsive Broadband (250~1000 nm) DUV-NIR Photodetector and Tunable Emitter
IEDM,2023,S2023-24,20,20-5,D7,"Optoelectronics, Display & Image Sensors",Devices & Process Technology,session,Advances in Organic Photodetectors
IEDM,2023,S2023-24,21,21-1,D2,Memory Devices & Technology,Devices & Process Technology,session,COPS: An Efficient and Reliability-Enhanced Programming Scheme for Analog RRAM and On
IEDM,2023,S2023-24,21,21-2,D2,Memory Devices & Technology,Devices & Process Technology,session,A Logic-Process Compatible RRAM with 15.43 Mb/mm2 Density and 10years@150oC retention
IEDM,2023,S2023-24,21,21-3,D2,Memory Devices & Technology,Devices & Process Technology,session,Emerging Memory RRAM Embedded in 12FFC FinFET Technology for Industrial Applications
IEDM,2023,S2023-24,21,21-4,D2,Memory Devices & Technology,Devices & Process Technology,session,Status and Perspectives of Chalcogenide-based Cross-Point Memories
IEDM,2023,S2023-24,21,21-5,D2,Memory Devices & Technology,Devices & Process Technology,session,Low voltage (<1.8 V) and high endurance (>1M) 1-Selector/1-STT-MRAM with ultra-low (1 ppb)
IEDM,2023,S2023-24,21,21-6,D2,Memory Devices & Technology,Devices & Process Technology,session,Enhancing Se-based Selector-only Memory with Ultra-fast Write Speed (~ 10 ns) and Superior
IEDM,2023,S2023-24,21,21-7,D2,Memory Devices & Technology,Devices & Process Technology,session,Enhanced Endurance Characteristics in High Performance 16nm Selector Only Memory (SOM)
IEDM,2023,S2023-24,22,22-1,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,In-Situ Encrypted NAND FeFET Array for Secure Storage and Compute-in-Memory
IEDM,2023,S2023-24,22,22-2,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Physical Reservoir Computing using HZO-based FeFETs for Edge-AI Applications
IEDM,2023,S2023-24,22,22-3,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Designing networks of resistively-coupled stochastic Magnetic Tunnel Junctions for energy
IEDM,2023,S2023-24,22,22-4,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,High RA Dual-MTJ SOT-MRAM devices for High Speed (10ns) Compute-in-Memory Applications
IEDM,2023,S2023-24,22,22-5,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Tunnel and capacitive coupling optimization in FDSOI spin-qubit devices
IEDM,2023,S2023-24,22,22-6,X2,Quantum & Cryogenic Technology,Cross-cutting / Emerging Computing,session,Milli-Kelvin Analysis Revealing the Role of Band-edge States in Cryogenic MOSFETs
IEDM,2023,S2023-24,23,23-1,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,In-Memory Compute Chips with Carbon-based Projected Phase-Change Memory Devices
IEDM,2023,S2023-24,23,23-2,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,3D Stackable CNTFET/RRAM 1T1R Array with CNT CMOS Peripheral Circuits as BEOL Buffer
IEDM,2023,S2023-24,23,23-3,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Hybrid FeRAM/RRAM Synaptic Circuit Enabling On-Chip Inference and Learning at the Edge
IEDM,2023,S2023-24,23,23-4,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,First Demonstration of Innovative 3D AND-Type Fully-Parallel Convolution Block with Ultra-High
IEDM,2023,S2023-24,23,23-5,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,A Holistic methodology Toward Large-scale AI Implementation using Realistic ReRAM based
IEDM,2023,S2023-24,23,23-6,X1,Neuromorphic & In-Memory Computing,Cross-cutting / Emerging Computing,session,Cool-CIM: Cryogenic Operation of Analog Compute-In-Memory for Improved Power-efficiency
IEDM,2023,S2023-24,24,24-1,D2,Memory Devices & Technology,Devices & Process Technology,session,Experimental demonstration and modeling of a ferroelectric gate stack with a tunnel dielectric
IEDM,2023,S2023-24,24,24-2,D2,Memory Devices & Technology,Devices & Process Technology,session,Wake-Up of Ultrathin Ferroelectric Hf Zr O : The Origin and Physical Modeling
IEDM,2023,S2023-24,24,24-3,D2,Memory Devices & Technology,Devices & Process Technology,session,A Liouville Model for Polycrystalline Ferroelectrics Emphasizing Kinetic Integrity and
IEDM,2023,S2023-24,24,24-4,D2,Memory Devices & Technology,Devices & Process Technology,session,Comparative Advantages of 2T-nC FeRAM in Empowering High Density 3D Ferroelectric
IEDM,2023,S2023-24,24,24-5,D2,Memory Devices & Technology,Devices & Process Technology,session,Reliability-Aware Ultra-Scaled IDG-InGaZnO-FET Compact Model to Enable Cross-layer Co
IEDM,2023,S2023-24,24,24-6,D2,Memory Devices & Technology,Devices & Process Technology,session,First BEOL-compatible IGZO Ferroelectic-Modulated Diode with Drastically Enhanced Memory
IEDM,2023,S2023-24,25,25-1,D4,"Process, Materials & Metrology",Devices & Process Technology,session,Field programmable digital microfluidics chip for high-throughput droplet array manipulation
IEDM,2023,S2023-24,25,25-2,D4,"Process, Materials & Metrology",Devices & Process Technology,session,Active-Matrix Potentiometric Sensors with Low Operating Voltage of 0.05 V for High-Resolution
IEDM,2023,S2023-24,25,25-3,D4,"Process, Materials & Metrology",Devices & Process Technology,session,Silicon Device-Based Sensing for Sustainability
IEDM,2023,S2023-24,25,25-4,D4,"Process, Materials & Metrology",Devices & Process Technology,session,Nanowell Field-Effect Transistors for Highly Sensitive Molecular Detection
IEDM,2023,S2023-24,25,25-5,D4,"Process, Materials & Metrology",Devices & Process Technology,session,A Device Design Approach to Mitigate Strain Impact on Stretchable Carbon-Nanotube Thin-Film
IEDM,2023,S2023-24,25,25-6,D4,"Process, Materials & Metrology",Devices & Process Technology,session,Dual-wavelength neural probe for simultaneous opto-stimulation and recording fabricated in a
IEDM,2023,S2023-24,26,26-1,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,6500-V E-mode Active-Passivation p-GaN Gate HEMT with Ultralow Dynamic R
IEDM,2023,S2023-24,26,26-2,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,Polarization Engineering in AlSiO/p-type GaN MOSFETs Using AlN Interlayers Formed by Plasma
